               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,             0.02297,            0.020096,           0.0022648,             0.91672,             0.95554,             0.97559,             0.77789,            0.018734,             0.01142,           0.0015393,           0.0092674,           0.0092674,           0.0092674
                  76,            0.023581,            0.018433,           0.0024462,             0.96663,             0.92575,             0.97472,              0.7544,            0.018876,            0.011503,           0.0014561,           0.0092575,           0.0092575,           0.0092575
                  77,            0.024411,            0.020884,           0.0023067,             0.93503,             0.95316,             0.98028,             0.76797,            0.022283,            0.011816,           0.0015828,           0.0092476,           0.0092476,           0.0092476
                  78,             0.02273,            0.019864,           0.0029302,             0.93369,             0.96115,             0.97992,             0.76368,             0.01957,            0.011439,           0.0016466,           0.0092377,           0.0092377,           0.0092377
                  79,            0.022727,            0.019326,           0.0021908,             0.94216,             0.97025,             0.97687,             0.76095,            0.018297,            0.011469,           0.0016396,           0.0092278,           0.0092278,           0.0092278
                  80,            0.022544,            0.020698,           0.0023718,             0.93717,             0.96761,              0.9801,             0.72792,            0.023459,            0.011919,           0.0015382,           0.0092179,           0.0092179,           0.0092179
                  81,            0.023691,             0.02037,           0.0022822,             0.93943,              0.9643,             0.97541,             0.78446,            0.016898,            0.011065,           0.0015519,            0.009208,            0.009208,            0.009208
                  82,            0.024687,            0.020775,           0.0021694,             0.93926,             0.95554,             0.96874,             0.78718,            0.021412,            0.011329,           0.0016813,           0.0091981,           0.0091981,           0.0091981
                  83,            0.023144,            0.019596,           0.0021304,             0.94859,             0.94537,             0.96676,             0.79865,            0.017815,            0.011281,           0.0015091,           0.0091882,           0.0091882,           0.0091882
                  84,            0.021544,            0.020466,           0.0023274,             0.94379,             0.95554,             0.97407,              0.8117,             0.01616,            0.010809,           0.0014982,           0.0091783,           0.0091783,           0.0091783
                  85,            0.021413,            0.020867,           0.0023777,             0.94938,             0.96707,              0.9805,             0.79173,            0.018538,            0.010823,           0.0014865,           0.0091684,           0.0091684,           0.0091684
                  86,            0.022118,            0.019942,           0.0023252,             0.95634,             0.97069,             0.98005,             0.79999,            0.015968,            0.010029,           0.0014868,           0.0091585,           0.0091585,           0.0091585
                  87,            0.021182,            0.019326,           0.0024287,             0.94784,             0.96735,             0.97852,              0.8004,            0.017215,            0.010115,           0.0014884,           0.0091486,           0.0091486,           0.0091486
                  88,            0.020948,            0.019831,           0.0023085,             0.95126,             0.96312,             0.98065,             0.80587,            0.016826,            0.010082,           0.0015209,           0.0091387,           0.0091387,           0.0091387
                  89,            0.020446,            0.019988,           0.0023727,             0.96355,             0.94642,             0.97956,              0.7775,            0.017964,            0.010653,           0.0015372,           0.0091288,           0.0091288,           0.0091288
                  90,             0.02348,            0.020257,            0.002326,             0.95059,             0.95924,             0.98271,             0.80136,            0.019399,            0.010321,           0.0014813,           0.0091189,           0.0091189,           0.0091189
                  91,            0.022324,            0.020211,           0.0019096,              0.9341,             0.94666,             0.98003,             0.75634,            0.021928,            0.010667,           0.0016741,            0.009109,            0.009109,            0.009109
                  92,            0.022348,            0.020844,           0.0021027,             0.94131,             0.96148,             0.97681,             0.78339,            0.019307,            0.010779,           0.0013921,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023388,            0.020741,           0.0021549,             0.94426,             0.94532,             0.96353,              0.7766,            0.020154,            0.011459,           0.0015685,           0.0090892,           0.0090892,           0.0090892
                  94,            0.022335,            0.020573,           0.0025534,             0.92821,             0.96037,             0.97155,              0.8062,            0.016393,            0.010789,           0.0016151,           0.0090793,           0.0090793,           0.0090793
                  95,            0.021985,            0.021693,           0.0022486,             0.93201,             0.95728,             0.96659,              0.7974,            0.017254,            0.010777,           0.0016371,           0.0090694,           0.0090694,           0.0090694
